job_id,title,company,location,experience,skills,description,salary,scraped_at,source_url,search_term,normalized_skills,skills_text,programming_score,web_development_score,database_score,cloud_devops_score,data_science_score,tools_score,combined_text,cluster
quora__inc__principal_product_manager___growth__poe__remote__n_a,"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",N/A,N/A,"Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL","About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...",N/A,2025-05-25T06:27:45.184960,karkidi.com,2,"['python', 'pandas', 'numpy', 'data analysis', 'machine learning']",python pandas numpy data analysis machine learning,1,0,0,0,4,0,"Principal Product Manager - Growth, Poe (Remote) python pandas numpy data analysis machine learning About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...",2
google_machine_learning_physical_design_engineer_n_a,Machine Learning Physical Design Engineer,Google,N/A,N/A,"Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques","Minimum qualifications:Bachelor's degree in Electrical Engineering or a related field, or equivalent practical experience.4 years of experience with physical design flow such...",N/A,2025-05-25T06:27:45.185995,karkidi.com,2,"['machine learning', 'go']",machine learning go,1,0,0,0,1,0,"Machine Learning Physical Design Engineer machine learning go Minimum qualifications:Bachelor's degree in Electrical Engineering or a related field, or equivalent practical experience.4 years of experience with physical design flow such...",1
quora__inc__staff_software_engineer___monetization__poe__remote__n_a,"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",N/A,N/A,"Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript","About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...",N/A,2025-05-25T06:27:45.187033,karkidi.com,2,"['python', 'javascript', 'typescript', 'react', 'api', 'data analysis', 'machine learning']",python javascript typescript react api data analysis machine learning,3,1,0,0,2,1,"Staff Software Engineer - Monetization, Poe (Remote) python javascript typescript react api data analysis machine learning About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...",2
quora__inc__staff_backend_engineer___bot_creator_ecosystem__poe__remote__n_a,"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",N/A,N/A,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork","About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...",N/A,2025-05-25T06:27:45.188056,karkidi.com,2,"['python', 'api', 'machine learning']",python api machine learning,1,0,0,0,1,1,"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote) python api machine learning About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...",0
quora__inc__senior_backend_engineer___bot_creator_ecosystem__poe__remote__n_a,"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",N/A,N/A,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork","About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...",N/A,2025-05-25T06:27:45.189070,karkidi.com,2,"['python', 'api', 'machine learning']",python api machine learning,1,0,0,0,1,1,"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote) python api machine learning About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...",0
jpmorgan_chase_data_scientist_lead___aiml_n_a,Data Scientist Lead - AIML,JPMorgan Chase,N/A,N/A,"Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming","We have an opportunity to impact your career and provide an adventure where you can push the limits of what's possible.As a Lead AI/ML Engineer within our Asset and Wealth management, you...",N/A,2025-05-25T06:27:45.190047,karkidi.com,2,"['python', 'machine learning']",python machine learning,1,0,0,0,1,0,"Data Scientist Lead - AIML python machine learning We have an opportunity to impact your career and provide an adventure where you can push the limits of what's possible.As a Lead AI/ML Engineer within our Asset and Wealth management, you...",1
jpmorgan_chase_applied_ai_ml_director___machine_learning_n_a,Applied AI ML Director - Machine Learning,JPMorgan Chase,N/A,N/A,"Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques","Elevate your career as the Director of Machine Learning Engineering, where your technical expertise and visionary leadership will shape the future of AI and ML solutions.As a Director of...",N/A,2025-05-25T06:27:45.191055,karkidi.com,2,"['kubernetes', 'tensorflow', 'gcp', 'aws', 'go', 'azure', 'machine learning']",kubernetes tensorflow gcp aws go azure machine learning,1,0,0,4,2,0,"Applied AI ML Director - Machine Learning kubernetes tensorflow gcp aws go azure machine learning Elevate your career as the Director of Machine Learning Engineering, where your technical expertise and visionary leadership will shape the future of AI and ML solutions.As a Director of...",1
observe_ai_senior_product_designer_n_a,Senior Product Designer,Observe.AI,N/A,N/A,"Design,Leadership Skill,Machine learning techniques","Observe.AI is transforming customer service with AI agents that speak, think, and act like your best human agents—helping enterprises automate routine customer calls and workflows, support...",N/A,2025-05-25T06:27:45.192041,karkidi.com,2,['machine learning'],machine learning,0,0,0,0,1,0,"Senior Product Designer machine learning Observe.AI is transforming customer service with AI agents that speak, think, and act like your best human agents—helping enterprises automate routine customer calls and workflows, support...",3
observe_ai_manager___machine_learning_n_a,Manager - Machine Learning,Observe.AI,N/A,N/A,"Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)","Observe.AI is transforming customer service with AI agents that speak, think, and act like your best human agents—helping enterprises automate routine customer calls and workflows, support...",N/A,2025-05-25T06:27:45.193015,karkidi.com,2,['machine learning'],machine learning,0,0,0,0,1,0,"Manager - Machine Learning machine learning Observe.AI is transforming customer service with AI agents that speak, think, and act like your best human agents—helping enterprises automate routine customer calls and workflows, support...",3
spotify_data_scientist_n_a,Data Scientist,Spotify,N/A,N/A,"Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL",We are looking for a Data Scientist to join the Business Analytics team at Spotify. You will work with the Regional Analytics Lead to evaluate and influence our growth strategy in India’s...,N/A,2025-05-25T06:27:45.193971,karkidi.com,2,"['python', 'tensorflow', 'gcp', 'r', 'go']",python tensorflow gcp r go,3,0,0,1,1,0,Data Scientist python tensorflow gcp r go We are looking for a Data Scientist to join the Business Analytics team at Spotify. You will work with the Regional Analytics Lead to evaluate and influence our growth strategy in India’s...,1
